,open_time,close_time,volume,open,close,diff,target,yes_tokens_found,no_tokens_found,yes_prob_sum,no_prob_sum,softmax_probs_yes_no
0,2025-03-01,2025-03-01 23:59:59.999,25785.05464,84349.95,86064.53,1714.5800000000017,1,"['Yes', ' Yes']","['No', ' No', 'NO']",0.07585817737898028,0.9241418226210197,"[0.07585817382035062, 3.5586296609936444e-09, 0.9241417306656309, 8.099403776092792e-08, 1.0961351040852085e-08]"
1,2025-03-02,2025-03-02 23:59:59.999,54889.09045,86064.54,94270.0,8205.460000000006,1,['Yes'],"['No', ' No', 'NO']",0.0005527784719978185,0.999447221528002,"[0.0005527784719978185, 0.9994471527888661, 6.821828293258486e-08, 5.208530176391318e-10]"
2,2025-03-03,2025-03-03 23:59:59.999,59171.10218,94269.99,86220.61,-8049.380000000005,0,"['Yes', ' Yes', 'YES']",['No'],0.9999646437614119,3.5356238587986626e-05,"[0.9999645850028607, 5.3155954809445114e-08, 5.602596417761019e-09, 3.5356238587986626e-05]"
3,2025-03-04,2025-03-04 23:59:59.999,55609.10706,86221.16,87281.98,1060.8199999999924,1,['Yes'],"['No', ' No', 'NO']",2.7535695687231967e-05,0.9999724643043127,"[2.7535695687231967e-05, 0.9999723358151513, 1.2751556899887312e-07, 9.735924551873728e-10]"
4,2025-03-05,2025-03-05 23:59:59.999,38264.01163,87281.98,90606.01,3324.029999999999,1,"['Yes', ' Yes', 'YES']",['No'],0.9399133587257907,0.06008664127420929,"[0.9399133121517662, 3.8911830807178906e-08, 7.662193789503765e-09, 0.06008664127420929]"
5,2025-03-06,2025-03-06 23:59:59.999,34342.44902,90606.0,89931.89,-674.1100000000006,0,"['Yes', ' Yes']",['No'],0.939913351112121,0.06008664888787887,"[0.9399133122003038, 3.8911817183151336e-08, 0.06008664888787887]"
6,2025-03-07,2025-03-07 23:59:59.999,57980.35713,89931.88,86801.75,-3130.1300000000047,0,"['Yes', ' Yes', 'YES']",['No'],0.9947798748258286,0.00522012517417137,"[0.9947798156298423, 5.288033139561146e-08, 6.31565494150568e-09, 0.00522012517417137]"
7,2025-03-08,2025-03-08 23:59:59.999,12989.23054,86801.74,86222.45,-579.2900000000081,0,"['Yes', ' Yes']","['No', ' No']",0.9820137905285473,0.01798620947145278,"[0.98201371457551, 7.595303732644852e-08, 0.01798620613430922, 3.3371435595083545e-09]"
8,2025-03-09,2025-03-09 23:59:59.999,26115.39345,86222.46,80734.37,-5488.090000000011,0,['Yes'],"['No', ' No', 'NO']",0.006692850549613098,0.9933071494503869,"[0.006692850549613098, 0.9933070745051652, 6.779923483841444e-08, 7.1459867778566205e-09]"
9,2025-03-10,2025-03-10 23:59:59.999,47633.38405,80734.48,78595.86,-2138.6199999999953,0,['Yes'],"['No', ' No', 'NO']",0.0052201258772438894,0.9947798741227561,"[0.0052201258772438894, 0.9947797578343407, 1.1194773090148841e-07, 4.340684584264e-09]"
